Section               Name                        Description
=======               ====                        ===========
admin                 base-files                  Debian base system miscellaneous files
admin                 base-passwd                 Debian base system master password and group files
admin                 cloud-init                  initialization and customization tool for cloud instances
admin                 hostname                    utility to set/show the host name or domain name
admin                 ncurses-term                additional terminal type definitions
admin                 show-motd                   show message of the day in interactive shells
admin                 software-properties-common  manage the repositories that you install software from (common)
admin                 sysvinit-utils              System-V-like utilities
admin                 tmux                        terminal multiplexer
admin                 update-motd                 compliments pam_motd in libpam-modules
admin                 wslu                        collection of utilities for the Windows 10 Linux Subsystem
devel                 autoconf                    automatic configure script builder
devel                 automake                    Tool for generating GNU Standards-compliant Makefiles
devel                 build-essential             Informational list of build-essential packages
devel                 cmake                       cross-platform, open-source make system
devel                 default-jdk                 Standard Java or Java compatible Development Kit
devel                 gcc                         GNU C compiler
devel                 libtool                     Generic library support script
devel                 pkg-config                  manage compile and link flags for libraries
editors               vim                         Vi IMproved - enhanced vi editor
fonts                 fonts-dejavu-core           Vera font family derivate with additional characters
libs                  fontconfig-config           generic font configuration library - configuration
metapackages          init                        metapackage ensuring an init system is installed
metapackages          ubuntu-minimal              Minimal core of Ubuntu
metapackages          ubuntu-server               The Ubuntu Server system
metapackages          ubuntu-standard             The Ubuntu standard system
metapackages          ubuntu-wsl                  Ubuntu on Windows tools - Windows Subsystem for Linux integration
misc                  ca-certificates             Common CA certificates
misc                  screen                      terminal multiplexer with VT100/ANSI terminal emulation
misc                  ssh-import-id               securely retrieve an SSH public key and install it locally
net                   net-tools                   NET-3 networking toolkit
net                   openssh-server              secure shell (SSH) server, for secure access from remote machines
net                   openssh-sftp-server         secure shell (SSH) sftp server module, for SFTP access from remote machines
net                   rsync                       fast, versatile, remote (and local) file-copying tool
otherosfs             dosfstools                  utilities for making and checking MS-DOS FAT filesystems
perl                  perl                        Larry Wall's Practical Extraction and Report Language
python                python-is-python3           symlinks /usr/bin/python to python3
python                python3                     interactive high-level object-oriented language (default python3 version)
python                python3-distutils           distutils package for Python 3.x
python                python3-importlib-metadata  library to access the metadata for a Python package - Python 3.x
python                python3-jinja2              small but fast and easy to use stand-alone template engine
python                python3-json-pointer        resolve JSON pointers - Python 3.x
python                python3-jsonpatch           library to apply JSON patches - Python 3.x
python                python3-jsonschema          An(other) implementation of JSON Schema (Draft 3 and 4) - Python 3.x
python                python3-lib2to3             Interactive high-level object-oriented language (lib2to3)
python                python3-markupsafe          HTML/XHTML/XML string library for Python 3
