Section          Name                            Description
=======          ====                            ===========
admin            adduser                         add and remove users and groups
admin            apparmor                        user-space parser utility for AppArmor
admin            apt                             commandline package manager
admin            apt-utils                       package management related utility programs
admin            at                              Delayed job execution and batch processing
admin            base-files                      Debian base system miscellaneous files
admin            base-passwd                     Debian base system master password and group files
admin            bolt                            system daemon to manage thunderbolt 3 devices
admin            btrfs-progs                     Checksumming Copy on Write Filesystem utilities
admin            cloud-guest-utils               cloud guest utilities
admin            cloud-init                      initialization and customization tool for cloud instances
admin            cloud-initramfs-copymods        copy initramfs modules into root filesystem for later use
admin            cloud-initramfs-dyn-netconf     write a network interface file in /run for BOOTIF
admin            command-not-found               Suggest installation of packages in interactive bash sessions
admin            cron                            process scheduling daemon
admin            cryptsetup                      disk encryption support - startup scripts
admin            cryptsetup-bin                  disk encryption support - command line tools
admin            cryptsetup-initramfs            disk encryption support - initramfs integration
admin            cryptsetup-run                  transitional dummy package for cryptsetup
admin            dbus-user-session               simple interprocess messaging system (systemd --user integration)
admin            debconf                         Debian configuration management system
admin            debconf-i18n                    full internationalization support for debconf
admin            dmeventd                        Linux Kernel Device Mapper event daemon
admin            dmsetup                         Linux Kernel Device Mapper userspace library
admin            dpkg                            Debian package management system
admin            e2fsprogs                       ext2/ext3/ext4 file system utilities
admin            friendly-recovery               Make recovery boot mode more user-friendly
admin            fwupd                           Firmware update daemon
admin            gdisk                           GPT fdisk text-mode partitioning tool
admin            hdparm                          tune hard disk parameters for high performance
admin            hostname                        utility to set/show the host name or domain name
admin            init-system-helpers             helper tools for all init systems
admin            kmod                            tools for managing Linux kernel modules
admin            kpartx                          create device mappings for partitions
admin            landscape-common                Landscape administration system client - Common files
admin            language-selector-common        Language selector for Ubuntu
admin            libnss-systemd:amd64            nss module providing dynamic user and group name resolution
admin            libpam-modules-bin              Pluggable Authentication Modules for PAM - helper binaries
admin            libpam-modules:amd64            Pluggable Authentication Modules for PAM
admin            libpam-runtime                  Runtime support for the PAM library
admin            libpam-systemd:amd64            system and service manager - PAM module
admin            login                           system login tools
admin            logrotate                       Log rotation utility
admin            logsave                         save the output of a command in a log file
admin            lvm2                            Linux Logical Volume Manager
admin            mdadm                           tool to administer Linux MD arrays (software RAID)
admin            motd-news-config                Configuration for motd-news shipped in base-files
admin            mount                           tools for mounting and manipulating filesystems
admin            multipath-tools                 maintain multipath block device access
admin            ncurses-term                    additional terminal type definitions
admin            netbase                         Basic TCP/IP networking system
admin            overlayroot                     use an overlayfs on top of a read-only root filesystem
admin            packagekit                      Provides a package management service
admin            parted                          disk partition manipulator
admin            passwd                          change and administer password and group data
admin            pci.ids                         PCI ID Repository
admin            pciutils                        PCI utilities
admin            policykit-1                     framework for managing administrative policies and privileges
admin            pollinate                       seed the pseudo random number generator
admin            procps                          /proc file system utilities
admin            psmisc                          utilities that use the proc file system
admin            rsyslog                         reliable system and kernel logging daemon
admin            run-one                         run just one instance of a command and its args at a time
admin            sg3-utils                       utilities for devices using the SCSI command set
admin            sg3-utils-udev                  utilities for devices using the SCSI command set (udev rules)
admin            show-motd                       show message of the day in interactive shells
admin            software-properties-common      manage the repositories that you install software from (common)
admin            sosreport                       Set of tools to gather troubleshooting data from a system
admin            squashfs-tools                  Tool to create and append to squashfs filesystems
admin            sudo                            Provide limited super user privileges to specific users
admin            sysstat                         system performance tools for Linux
admin            systemd                         system and service manager
admin            systemd-sysv                    system and service manager - SysV links
admin            systemd-timesyncd               minimalistic service to synchronize local time with NTP servers
admin            sysvinit-utils                  System-V-like utilities
admin            thin-provisioning-tools         Tools for handling thinly provisioned device-mapper meta-data
admin            tmux                            terminal multiplexer
admin            tpm-udev                        udev rules for TPM modules
admin            ubuntu-release-upgrader-core    manage release upgrades
admin            udev                            /dev/ and hotplug management daemon
admin            udisks2                         D-Bus service to access and manipulate storage devices
admin            ufw                             program for managing a Netfilter firewall
admin            unattended-upgrades             automatic installation of security upgrades
admin            update-manager-core             manage release upgrades
admin            update-motd                     compliments pam_motd in libpam-modules
admin            usb.ids                         USB ID Repository
